district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Mumbai City,P51900045601,SHREE MAHALAKSHMI RESIDENCY,SHREE MAHALAKSHMI CONSTRUCTIONS,400016,"('19.075983700000000','72.877655900000000')",New Project,06/30/2025,,,Residential,447.32,0.0,1282.73,05/21/2022,,,27.0,0.0,1.0,1.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai City,P51900046004,1891 Ekam Parkk,Nascent Developers,400028,,New Project,12/30/2026,,,Others,478.36,0.0,4180.29,01/17/2024,,,40.0,16.0,1.0,1.0,0.0,23.0,1.0,0.0,30.0,0.0,0.0,0.0
Mumbai City,P51900045839,WHITE FLOWER RESIDENCY,WHITE FLOWERS REALTY LLP,400008,"('19.075983700000000','72.877655900000000')",New Project,12/31/2026,,,Mixed (Plots & Buildings),1892.82,269.79,5517.47,06/14/2023,,,169.0,7.0,1.0,0.0,0.0,17.0,0.0,0.0,121.0,0.0,0.0,0.0
Mumbai City,P51900046223,SANGHVI PARSSSVA ETERNITY,SANGHVI PARSSSVA ENTERPRISE LLP,400004,,New Project,06/30/2026,,,Others,2057.79,88.23,7401.08,06/14/2022,,,106.0,0.0,2.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900046224,VERVE MANSION,SHANTI SIDDHI INFRA LLP,400019,,New Project,12/31/2027,,,Residential,1314.0,0.0,1747.0,06/14/2022,,,35.0,0.0,1.0,1.0,6.0,20.0,0.0,0.0,77.0,0.0,0.0,0.0
Mumbai City,P51900046922,Amaresha,Inconel Developers & Builders Private Limited,400028,,New Project,05/31/2026,,,Others,390.47,0.0,1936.34,11/22/2023,,,15.0,1.0,0.0,1.0,0.0,23.0,0.0,0.0,20.0,0.0,0.0,0.0
Mumbai City,P51900046334,RIGVED WINDSONG,RIGVED LANDMARKS AOP,400019,"('19.075983700000000','72.877655900000000')",New Project,03/31/2026,,,Residential,472.29,0.0,2121.55,11/01/2023,,,7.0,0.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900047635,SNS Heights,LANDMARK REALTY DEVELOPER,400016,,New Project,12/31/2024,,,Residential,412.21,0.0,2188.12,11/02/2022,,,25.0,0.0,0.0,1.0,0.0,22.0,1.0,0.0,11.0,0.0,0.0,0.0
Mumbai City,P51900045988,NAKODA MEHTA SUNSHINE HEIGHTS A AND C WINGS,CHANDULAL JORAVARMALJI MEHTA,400004,,New Project,04/09/2027,,,Others,2814.58,1139.13,29301.0,01/19/2024,,,276.0,9.0,1.0,1.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900046485,SANJANA HEIGHTS,SAFEWAY PROJECTS PVT LTD,400036,"('19.075983700000000','72.877655900000000')",New Project,12/31/2026,,,Residential,771.75,375.9,2751.99,07/06/2023,2.0,,12.0,0.0,0.0,1.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900050048,KARPUR HEIGHTS,PARVASHA GRIHNIRMAN SANSTHA,400016,,New Project,12/31/2025,,,Residential,416.58,0.0,0.0,11/16/2023,,,47.0,33.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900047347,PREM NAGAR - LEGACY,RASIK KUNVERJI CHHEDA,400080,,New Project,12/31/2026,,,Residential,3349.0,892.71,8929.13,11/25/2023,,,157.0,80.0,2.0,2.0,6.0,40.0,2.0,0.0,160.0,0.0,0.0,0.0
Mumbai City,P51900045797,THE LEGACY,SACHIV SURINDER SAHNI,400018,,New Project,03/31/2026,,,Residential,1672.26,181.53,9030.2,06/13/2022,,,24.0,0.0,3.0,1.0,10.0,31.0,1.0,0.0,107.0,0.0,0.0,0.0
Mumbai City,P51900047934,BLISS,M/s. Euphrosyne Infrastructure (OPC) Pvt. Ltd.,400026,,New Project,12/31/2024,,,Residential,521.72,230.07,0.0,11/22/2023,,,6.0,0.0,1.0,1.0,6.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai City,P51900046132,Marq,Macrotech Developers Limited,400007,,New Project,05/31/2027,,11/30/2028,Residential,6139.35,1761.71,27721.54,11/21/2023,,,78.0,0.0,0.0,1.0,0.0,34.0,0.0,0.0,73.0,0.0,0.0,0.0
Mumbai City,P51900046594,Lodha Solitaire,Macrotech Developers Limited,400011,,New Project,12/31/2027,,,Residential,2908.03,582.0,1229.04,12/28/2023,33.0,,246.0,15.0,0.0,1.0,0.0,37.0,1.0,507.0,1.0,0.0,0.0,0.0
Mumbai City,P51900046567,Lodha Bellevue,Macrotech Developers Limited,400011,,New Project,09/30/2028,,,Residential,6361.33,1273.0,39924.07,12/28/2023,33.0,3.0,364.0,125.0,0.0,1.0,0.0,57.0,1.0,0.0,743.0,0.0,0.0,0.0
Mumbai City,P51900046324,Lodha NCP Tower - 2,MACROTECH DEVELOPERS LIMITED,400022,,New Project,05/31/2029,,,Residential,2225.66,779.21,23675.59,12/08/2023,3.0,,241.0,0.0,4.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900046367,Lodha Park Signet - Phase 2,MACROTECH DEVELOPERS LIMITED,400013,,New Project,08/31/2026,,,Commercial,5319.46,21813.0,25773.58,11/24/2023,,,329.0,10.0,2.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
