district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Raigarh,P52000034121,Cielo Apartment,CIELO HEIGHTS,400702,,New Project,10/31/2023,,,Residential,330.3,0.0,1181.54,03/19/2022,,,16.0,0.0,0.0,1.0,0.0,7.0,1.0,25.0,3.0,0.0,0.0,0.0
Raigarh,P52000033726,SAVITRI HERITAGE,MUKESH BHOORMAL JAIN,402201,,New Project,03/31/2027,,,Residential,2730.0,273.0,4797.0,11/17/2023,,,87.0,14.0,0.0,2.0,0.0,13.0,2.0,24.0,2.0,0.0,0.0,0.0
Raigarh,P52000034740,DEV RESIDENCY,Dev Varsha Construction,410206,,New Project,12/31/2025,,,Residential,1500.0,100.0,5841.0,04/11/2022,,,46.0,0.0,1.0,1.0,0.0,1.0,1.0,46.0,1.0,0.0,0.0,0.0
Raigarh,P52000033724,CHAITANYA HERITAGE,RAJENDRA MADHUKAR JOSHI,410206,,New Project,07/26/2025,,,Residential,599.83,0.0,1342.68,11/01/2023,,,42.0,34.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000034365,SHRI DATTA DEVELOPERS,VITHAL GAWARU AYARE,402116,,New Project,12/31/2025,,,Residential,300.0,0.0,528.0,03/29/2022,,,13.0,0.0,0.0,1.0,0.0,4.0,1.0,8.0,1.0,0.0,0.0,0.0
Raigarh,P52000033789,Alibag Paradise,ACORP,402201,,New Project,12/31/2027,,,Residential,350.0,0.0,783.99,10/13/2023,,,18.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000034421,RUSHAB PARK,RUSHABH DEVELOPERS,402109,,New Project,03/31/2025,,,Residential,586.2,0.0,700.19,03/31/2022,,,23.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,6.0,0.0,0.0,0.0
Raigarh,P52000034821,Shirkai Developers,Rohan Ramdas Rajeshirke,410201,"('18.910871797778430','73.322545493748860')",New Project,12/31/2023,,,Residential,358.0,0.0,1314.12,04/21/2022,,,25.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,1.0,0.0,0.0,0.0
Raigarh,P52000034743,HARSHNITI,SHIVDAS PADU MHATRE,410206,,New Project,01/31/2025,,,Residential,518.3,0.0,1391.0,02/07/2023,,,41.0,32.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000034136,Gokuldham Residency,NANDADEEP HOMES PVT LTD,410206,"('18.939429000000000','73.139631000000000')",New Project,02/21/2027,,,Residential,3980.0,413.0,6548.0,12/30/2023,,,161.0,69.0,0.0,2.0,0.0,16.0,2.0,102.0,126.0,0.0,0.0,0.0
Raigarh,P52000034675,SHREE SAI SHAMBU,SAMEER LALCHAND MHATRE,410101,,New Project,05/31/2027,,,Residential,1061.7,0.0,1511.21,04/08/2022,,,14105.0,0.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000045270,SUKH SHANTI NAGAR,EKNATH APPARAO PARJANE,410206,,New Project,12/31/2026,,,Residential,4300.0,200.0,7429.74,04/22/2022,,,195.0,0.0,5.0,5.0,0.0,5.0,5.0,130.0,23.0,0.0,0.0,0.0
Raigarh,P52000034215,THE NATURE - PHASE II,ANMOL DEVELOPERS,410201,,New Project,06/30/2024,,,Residential,1715.0,0.0,3561.0,08/14/2023,,,69.0,23.0,0.0,1.0,0.0,8.0,1.0,19.0,9.0,0.0,0.0,0.0
Raigarh,P52000033911,SHIVRAJ HEIGHTS,M/S SHREEYOG BUILDERS AND DEVELOPERS,402109,,New Project,12/31/2025,,,Residential,688.9,0.0,1652.04,03/09/2022,,,31.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,28.0,0.0,0.0,0.0
Raigarh,P52000034418,VASUNDHARA TOWER,VAST CONSTRUCTION,402107,,New Project,04/02/2025,,,Residential,695.0,695.0,1791.84,12/01/2023,,,35.0,15.0,0.0,1.0,0.0,8.0,1.0,1.0,9.0,0.0,0.0,0.0
Raigarh,P52000033994,Brajesh Sapphire,Life Good Happiness Homes,410206,,New Project,06/30/2024,,,Residential,2880.0,358.21,1174.8,11/07/2023,,,31.0,7.0,0.0,1.0,0.0,4.0,1.0,0.0,10.0,0.0,0.0,0.0
Raigarh,P52000045307,7 KOLGAON-PHASE-1,SATELLITE DEVELOPERS PVT LTD,402201,"('21.897400300000000','83.394963199999990')",New Project,08/31/2025,,,Residential,3108.0,0.0,3422.23,06/28/2023,,,7.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000045568,SWASTIK HOMES,SWASTIK BUILDERS AND DEVELOPERS,410101,,New Project,03/03/2025,,,Residential,306.75,0.0,516.47,05/18/2022,,,15.0,0.0,0.0,1.0,0.0,5.0,1.0,7.0,1.0,0.0,0.0,0.0
Raigarh,P52000034552,SIDDHIVINAYAK GAURAV,GOPAL GHANSHYAMDAS GOYAL,410208,"('19.076201813668238','73.110548314901890')",New Project,12/31/2026,,,Residential,3990.0,0.0,10212.77,10/28/2023,,,173.0,112.0,0.0,1.0,1.0,10.0,1.0,11.0,89.0,0.0,0.0,0.0
